organizer_id,organizer_name,discipline,region,website_or_social,primary_contact,legal_status,years_active,program_count,reviews_count,avg_rating,media_proof,safety_pack_status,fit_score_preliminary,pipeline_status,owner,next_step,due_date,blockers,notes,virtual_only
V-ORG-001,WaveLine Krasnodar,Wakesurf,Krasnodar,https://virtual.mywave.local/waveline,+79990001001,ИП,5,2,18,4.9,available,received,high,onboarded,Yaroslav,publish pilot program,2026-03-28,none,Used for browser rehearsal,yes
V-ORG-002,SouthCrew Wakesurf,Wakesurf,Krasnodar,https://virtual.mywave.local/southcrew,+79990001002,ООО,4,3,12,4.8,available,received,high,onboarded,Yaroslav,publish pilot program,2026-03-28,none,Used for browser rehearsal,yes
V-ORG-003,Kuban Wake Camp,Wakesurf,Krasnodar,https://virtual.mywave.local/kubanwake,+79990001003,самозанятый,3,1,10,4.7,available,received,medium,onboarded,Yaroslav,publish pilot program,2026-03-28,none,Used for browser rehearsal,yes
V-ORG-004,Harbor Flow Club,Wakesurf,Krasnodar,https://virtual.mywave.local/harborflow,+79990001004,ИП,6,2,9,4.6,partial,missing,medium,contacted,Yaroslav,request evidence,2026-03-29,awaiting response,Virtual outreach slot,yes
V-ORG-005,Riviera Ride School,Wakesurf,Krasnodar,https://virtual.mywave.local/riviera,+79990001005,ООО,2,1,6,4.5,partial,missing,medium,contacted,Yaroslav,request evidence,2026-03-29,awaiting response,Virtual outreach slot,yes
V-ORG-006,Black Sea Wake Trips,Wakesurf,Krasnodar,https://virtual.mywave.local/blacksea,+79990001006,самозанятый,3,1,5,4.4,partial,missing,medium,contacted,Yaroslav,request evidence,2026-03-29,awaiting response,Virtual outreach slot,yes
V-ORG-007,Delta Board Camp,Wakesurf,Krasnodar,https://virtual.mywave.local/delta,+79990001007,ИП,2,1,4,4.3,none,missing,low,sourced,Yaroslav,send outreach,2026-03-29,,Virtual outreach slot,yes
V-ORG-008,Citrus Surf Sessions,Wakesurf,Krasnodar,https://virtual.mywave.local/citrus,+79990001008,ООО,4,2,7,4.5,none,missing,low,sourced,Yaroslav,send outreach,2026-03-29,,Virtual outreach slot,yes
V-ORG-009,WakeBridge Krasnodar,Wakesurf,Krasnodar,https://virtual.mywave.local/wakebridge,+79990001009,самозанятый,5,2,11,4.8,none,missing,medium,sourced,Yaroslav,send outreach,2026-03-29,,Virtual outreach slot,yes
V-ORG-010,SunDock Riders,Wakesurf,Krasnodar,https://virtual.mywave.local/sundock,+79990001010,ИП,3,1,8,4.6,none,missing,medium,sourced,Yaroslav,send outreach,2026-03-29,,Virtual outreach slot,yes
