date,target_type,target_name,channel,message_type,response,next_action,owner,virtual_only
2026-03-27,organizer,WaveLine Krasnodar,telegram / email / dm,first contact,positive,request evidence,Yaroslav,yes
2026-03-27,organizer,SouthCrew Wakesurf,telegram / email / dm,first contact,positive,schedule discovery,Yaroslav,yes
2026-03-27,organizer,Kuban Wake Camp,telegram / email / dm,first contact,positive,prepare onboarding,Yaroslav,yes
2026-03-27,organizer,Harbor Flow Club,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
2026-03-27,organizer,Riviera Ride School,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
2026-03-27,organizer,Black Sea Wake Trips,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
2026-03-27,organizer,Delta Board Camp,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
2026-03-27,organizer,Citrus Surf Sessions,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
2026-03-27,organizer,WakeBridge Krasnodar,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
2026-03-27,organizer,SunDock Riders,telegram / email / dm,first contact,pending,follow-up,Yaroslav,yes
