organizer_id,organizer_name,discipline,region,website_or_social,primary_contact,legal_status,years_active,program_count,reviews_count,avg_rating,media_proof,safety_pack_status,fit_score_preliminary,pipeline_status,owner,next_step,due_date,blockers,notes
ORG-001,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 1"
ORG-002,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 2"
ORG-003,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 3"
ORG-004,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 4"
ORG-005,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 5"
ORG-006,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 6"
ORG-007,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 7"
ORG-008,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 8"
ORG-009,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 9"
ORG-010,,Wakesurf,Krasnodar,,,self-employed / ИП / ООО,,,,,,missing,,sourced,Yaroslav,research profile,2026-03-29,,"Revenue sprint slot 10"
