date,target_type,target_name,channel,message_type,response,next_action,owner
2026-03-27,organizer,ORG-001,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-002,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-003,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-004,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-005,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-006,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-007,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-008,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-009,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
2026-03-27,organizer,ORG-010,telegram / email / dm,first contact,pending,send first outreach,Yaroslav
